ResponseName,ReleaseDate,ReleaseYear,ReleaseMonth,ReleaseDay,ReleaseDecade,ReleaseQuarter,Genre,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsRPG,GenreIsFreeToPlay,GenreIsSimulation,GenreIsEarlyAccess,GenreIsMassivelyMultiplayer,GenreIsNonGame,GenreIsStrategy,GenreIsSports,GenreIsRacing,PriceInitial,PriceFinal,DiscountPct,PriceCurrency,PriceCategory,IsFree,FreeOrPaid,Metacritic,MetacriticCategory,ReviewCategory,RequiredAge,AgeRating,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,PopularityCategory,RecommendationCount,PlatformWindows,PlatformLinux,PlatformMac,PlatformCategory,PCReqsHaveMin,PCReqsHaveRec,LinuxReqsHaveMin,LinuxReqsHaveRec,MacReqsHaveMin,MacReqsHaveRec,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeLevelEditor,CategoryVRSupport,CategoryIncludeSrcSDK,DLCCount,DemoCount,MovieCount,ScreenshotCount,AchievementCount,AchievementHighlightedCount,PublisherCount,DeveloperCount,PackageCount,ControllerSupport,FreeVerAvail,PurchaseAvail,SubscriptionAvail,LanguageCount
Counter-Strike,2000-11-01,2000,November,Wednesday,2000s,Q4.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0.0,USD,Budget,0,Paid,88,High,Excellent,0,All ages,13033334,92789,9140731,Blockbuster,68991,1,1,1,All Platforms,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,1,1,1,0,0,1,0,1
Team Fortress Classic,1999-04-01,1999,April,Thursday,1990s,Q2.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,5399140,60368,753627,Popular,2439,1,1,1,All Platforms,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0,1,0,1
Day of Defeat,2003-05-01,2003,May,Thursday,2000s,Q2.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0.0,USD,Budget,0,Paid,79,High,Good,0,All ages,7621102,71499,1709740,Blockbuster,2319,1,1,1,All Platforms,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0,1,0,1
Deathmatch Classic,2001-06-01,2001,June,Friday,2000s,Q2.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,7498965,70936,789676,Popular,888,1,1,1,All Platforms,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,1,0,1
Half-Life: Opposing Force,1999-11-01,1999,November,Monday,1990s,Q4.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,5399499,60370,705741,Popular,2934,1,1,1,All Platforms,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0,1,0,1
Ricochet,2000-11-01,2000,November,Wednesday,2000s,Q4.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,7488563,70888,843481,Popular,1965,1,1,1,All Platforms,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,1,0,1
Half-Life,1998-11-08,1998,November,Sunday,1990s,Q4.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0.0,USD,Budget,0,Paid,96,High,Excellent,0,All ages,5927504,63206,2268772,Blockbuster,12486,1,1,1,All Platforms,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,11,0,0,1,1,1,0,0,1,0,1
Counter-Strike: Condition Zero,2004-03-01,2004,March,Monday,2000s,Q1.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0.0,USD,Budget,0,Paid,65,Mid Range,Average,0,All ages,10489261,83543,4127910,Blockbuster,7067,1,1,1,All Platforms,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,1,1,1,0,0,1,0,1
Half-Life: Blue Shift,2001-06-01,2001,June,Friday,2000s,Q2.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0.0,USD,Budget,0,Paid,71,Mid Range,Good,0,All ages,5368650,60199,662517,Popular,2219,1,1,1,All Platforms,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0,1,0,1
Half-Life 2,2004-11-16,2004,November,Tuesday,2000s,Q4.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0.0,USD,Budget,0,Paid,96,High,Excellent,0,All ages,9901173,81234,5695963,Blockbuster,35792,1,1,1,All Platforms,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,9,33,10,1,1,2,0,0,1,0,1
